Title,Physical Date,PHY Date Week Num,PHY to TH,Physical W1 Units,Studio,Rating,Box Office,Franchise,Count of Awards, Action, Adventure,Animation, Biography, Comedy, Crime,Documentary, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Short, Sport, Thriller, War, Western
MY LITTLE PONY,1/9/2018,2,95,89059,Lionsgate,PG,21885107,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
MY OLD LADY,1/27/2015,5,139,5486,Universal Studios,PG-13,4013786,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NEED FOR SPEED,8/5/2014,32,144,195082,Walt Disney Studios,PG-13,38707596,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NEIGHBORS,9/23/2014,39,137,406076,Universal Studios,R,150086800,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIGHBORS 2,9/20/2016,39,123,87239,Universal Studios,R,55455765,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NERVE,10/25/2016,44,90,44663,Lionsgate,PG-13,38583626,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
NICE GUYS,8/23/2016,35,95,64135,Warner Bros.,R,36261763,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
NIGHT AT THE MUSEUM-SECRET OF THE TOMB,3/10/2015,11,81,463491,20th Century Fox,PG,113746621,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT BEFORE,3/1/2016,10,102,79309,Sony Pictures,R,43047372,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NIGHTCRAWLER,2/10/2015,7,102,85469,Universal Studios,R,32381217,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NO ESCAPE,11/24/2015,48,90,93483,OTHER,R,27288872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NO GOOD DEED,1/6/2015,2,116,106452,Sony Pictures,PG-13,52543632,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NO MANCHES FRIDA,12/27/2016,53,116,2636,Lionsgate,PG-13,11528613,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOAH,7/29/2014,31,123,435072,Paramount Pictures,PG-13,101200044,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOCTURNAL ANIMALS,2/21/2017,8,74,38225,Universal Studios,R,10663357,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
NON-STOP,6/10/2014,24,102,321565,Universal Studios,PG-13,91742160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
NORM OF THE NORTH,4/19/2016,17,95,51056,Lionsgate,PG,17062499,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOW YOU SEE ME 2,9/6/2016,37,88,222873,Lionsgate,PG-13,65075540,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
NUT JOB,4/15/2014,16,88,352833,Universal Studios,PG,59809075,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
